ID,Result,Val1,Val2,Val3,Val4
1,1,7,3.2,4.7,1.4
2,1,6.4,3.2,4.5,1.5
3,1,6.9,3.1,4.9,1.5
4,1,5.5,2.3,4,1.3
5,1,6.5,2.8,4.6,1.5
6,1,5.7,2.8,4.5,1.3
7,1,6.3,3.3,4.7,1.6
8,1,4.9,2.4,3.3,1
9,1,6.6,2.9,4.6,1.3
10,1,5.2,2.7,3.9,1.4
11,1,5,2,3.5,1
12,1,5.9,3,4.2,1.5
13,1,6,2.2,4,1
14,1,6.1,2.9,4.7,1.4
15,1,5.6,2.9,3.6,1.3
16,1,6.7,3.1,4.4,1.4
17,1,5.6,3,4.5,1.5
18,1,5.8,2.7,4.1,1
19,1,6.2,2.2,4.5,1.5
20,1,5.6,2.5,3.9,1.1
21,1,5.9,3.2,4.8,1.8
22,1,6.1,2.8,4,1.3
23,1,6.3,2.5,4.9,1.5
24,1,6.1,2.8,4.7,1.2
25,1,6.4,2.9,4.3,1.3
26,1,6.6,3,4.4,1.4
27,1,6.8,2.8,4.8,1.4
28,1,6.7,3,5,1.7
29,1,6,2.9,4.5,1.5
30,1,5.7,2.6,3.5,1
31,1,5.5,2.4,3.8,1.1
32,1,5.5,2.4,3.7,1
33,1,5.8,2.7,3.9,1.2
34,1,6,2.7,5.1,1.6
35,1,5.4,3,4.5,1.5
36,1,6,3.4,4.5,1.6
37,1,6.7,3.1,4.7,1.5
38,1,6.3,2.3,4.4,1.3
39,1,5.6,3,4.1,1.3
40,1,5.5,2.5,4,1.3
41,1,5.5,2.6,4.4,1.2
42,1,6.1,3,4.6,1.4
43,1,5.8,2.6,4,1.2
44,1,5,2.3,3.3,1
45,1,5.6,2.7,4.2,1.3
46,1,5.7,3,4.2,1.2
47,1,5.7,2.9,4.2,1.3
48,1,6.2,2.9,4.3,1.3
49,1,5.1,2.5,3,1.1
50,1,5.7,2.8,4.1,1.3
51,0,6.3,3.3,6,2.5
52,0,5.8,2.7,5.1,1.9
53,0,7.1,3,5.9,2.1
54,0,6.3,2.9,5.6,1.8
55,0,6.5,3,5.8,2.2
56,0,7.6,3,6.6,2.1
57,0,4.9,2.5,4.5,1.7
58,0,7.3,2.9,6.3,1.8
59,0,6.7,2.5,5.8,1.8
60,0,7.2,3.6,6.1,2.5
61,0,6.5,3.2,5.1,2
62,0,6.4,2.7,5.3,1.9
63,0,6.8,3,5.5,2.1
64,0,5.7,2.5,5,2
65,0,5.8,2.8,5.1,2.4
66,0,6.4,3.2,5.3,2.3
67,0,6.5,3,5.5,1.8
68,0,7.7,3.8,6.7,2.2
69,0,7.7,2.6,6.9,2.3
70,0,6,2.2,5,1.5
71,0,6.9,3.2,5.7,2.3
72,0,5.6,2.8,4.9,2
73,0,7.7,2.8,6.7,2
74,0,6.3,2.7,4.9,1.8
75,0,6.7,3.3,5.7,2.1
76,0,7.2,3.2,6,1.8
77,0,6.2,2.8,4.8,1.8
78,0,6.1,3,4.9,1.8
79,0,6.4,2.8,5.6,2.1
80,0,7.2,3,5.8,1.6
81,0,7.4,2.8,6.1,1.9
82,0,7.9,3.8,6.4,2
83,0,6.4,2.8,5.6,2.2
84,0,6.3,2.8,5.1,1.5
85,0,6.1,2.6,5.6,1.4
86,0,7.7,3,6.1,2.3
87,0,6.3,3.4,5.6,2.4
88,0,6.4,3.1,5.5,1.8
89,0,6,3,4.8,1.8
90,0,6.9,3.1,5.4,2.1
91,0,6.7,3.1,5.6,2.4
92,0,6.9,3.1,5.1,2.3
93,0,5.8,2.7,5.1,1.9
94,0,6.8,3.2,5.9,2.3
95,0,6.7,3.3,5.7,2.5
96,0,6.7,3,5.2,2.3
97,0,6.3,2.5,5,1.9
98,0,6.5,3,5.2,2
99,0,6.2,3.4,5.4,2.3
100,0,5.9,3,5.1,1.8
